Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline,phase,fitted_weight,weight_slope
2024-02-29,1670.0,67.1,168,67.1,67.1,1670.0,1670.0,cut,67.55551250628751,-0.042744933722360656
2024-03-01,1530.0,,169,67.2,66.67613216111742,1467.5,1405.6968510625702,cut,67.51297236680337,-0.042335829794026836
2024-03-02,1265.0,,170,67.3,66.91405967785447,1265.0,1265.0,cut,67.47083984675393,-0.04192972570239799
2024-03-03,1665.0,67.4,171,67.4,67.4,1665.0,1665.0,cut,67.42911185419989,-0.04152680513852166
2024-03-04,1777.0,67.8,172,67.8,67.8,1580.0,1607.6429513191244,cut,67.38778511499847,-0.0411272488946679
2024-03-05,1495.0,,173,67.73125,68.0901093954544,1495.0,1495.0,cut,67.34685617587648,-0.04073123427398666
2024-03-06,1748.0,,174,67.6625,68.28894794472195,1748.0,1748.0,cut,67.30632140781896,-0.04033893541759426
2024-03-07,1624.0,,175,67.59375,68.4058205606869,1624.0,1624.0,cut,67.26617700976924,-0.03995052232165601
2024-03-08,1791.0,,176,67.525,68.4500321562334,1791.0,1791.0,cut,67.2264190126113,-0.03956616093591474
2024-03-09,1534.0,,177,67.45625,68.43088764424567,1534.0,1534.0,cut,67.18704328343291,-0.03918601288290802
2024-03-10,1540.0,,178,67.3875,68.35769193760788,1628.5,1639.49954072029,cut,67.14804553005038,-0.03881023512436836
2024-03-11,1723.0,,179,67.31875,68.23974994920425,1723.0,1723.0,cut,67.10942130578155,-0.03843897956177974
2024-03-12,1446.0,,180,67.25,68.08636659191892,1446.0,1446.0,cut,67.07116601445254,-0.038072393250369416
2024-03-13,1774.0,,181,67.18125,67.90684677863617,1774.0,1774.0,cut,67.03327491562544,-0.03771061769223631
2024-03-14,1764.0,,182,67.1125,67.71049542224011,1764.0,1764.0,cut,66.99574313003637,-0.03735378895607748
2024-03-15,1598.0,67.5,183,67.04375,67.506617435615,1598.0,1598.0,cut,66.95856564522246,-0.037002037382312856
2024-03-16,1809.0,,184,66.975,67.30451773164499,1809.0,1809.0,cut,66.92173732133058,-0.0366554873850807
2024-03-17,1197.0,,185,66.90625,67.11350122321429,1197.0,1197.0,cut,66.88525289709531,-0.03631425729793136
2024-03-18,1165.0,,186,66.8375,66.9428728232071,1165.0,1165.0,cut,66.84910699596938,-0.035978459301233556
2024-03-19,2073.0,,187,66.76875,66.8019374445076,2073.0,2073.0,cut,66.81329413239445,-0.03564819932530365
2024-03-20,1614.0,66.7,188,66.7,66.7,1790.0,1874.8285509216155,cut,66.77780871819961,-0.03532357654011757
2024-03-21,1507.0,,189,66.73333333333333,66.6435220820418,1507.0,1507.0,cut,66.74264506911548,-0.03500468396625915
2024-03-22,1897.0,,190,66.76666666666667,66.62759200088371,1897.0,1897.0,cut,66.70779741139262,-0.03469160766774356
2024-03-23,1391.0,,191,66.8,66.64445474624978,1391.0,1391.0,cut,66.6732598885124,-0.03438442697287769
