Date,Calories,Weight,day
2024-09-04,2580.0,64.3,356
2024-09-05,1961.0,,357
2024-09-06,1863.0,,358
2024-09-07,1679.0,64.0,359
2024-09-08,2016.0,,360
2024-09-09,2265.0,63.9,361
2024-09-10,1865.0,,362
2024-09-11,2131.0,63.7,363
2024-09-12,2154.0,,364
2024-09-13,2064.0,64.1,365
2024-09-14,1715.0,,366
2024-09-15,2038.0,63.6,367
2024-09-16,2274.0,,368
2024-09-17,1969.0,,369
2024-09-18,2119.0,62.9,370
2024-09-19,2514.0,,371
2024-09-20,2243.0,63.8,372
2024-09-21,1766.0,,373
2024-09-22,2493.0,62.5,374
2024-09-23,1950.0,63.0,375
2024-09-24,2591.0,,376
2024-09-25,1908.0,,377
2024-09-26,2359.0,62.0,378
2024-09-27,1727.0,62.6,379
2024-09-28,2041.0,,380
2024-09-29,1983.0,62.2,381
2024-09-30,2195.0,62.3,382
2024-10-01,2206.0,63.5,383
2024-10-02,1886.0,63.0,384
2024-10-03,1776.0,63.4,385
2024-10-04,2143.0,62.9,386
2024-10-05,1869.0,,387
2024-10-06,2258.0,62.9,388
2024-10-07,1921.0,62.9,389
2024-10-08,1830.0,62.8,390
2024-10-09,1769.0,62.8,391
2024-10-10,1555.0,,392
2024-10-11,1972.0,,393
2024-10-12,1922.0,63.8,394
2024-10-13,1699.0,,395
2024-10-14,1762.0,,396
2024-10-15,1812.0,,397
2024-10-16,2262.0,,398
2024-10-17,1616.0,,399
2024-10-18,2252.0,,400
2024-10-19,1180.0,,401
2024-10-20,1672.0,,402
2024-10-21,1678.0,64.3,403
2024-10-22,1940.0,,404
2024-10-23,1569.0,63.1,405
2024-10-24,1752.0,,406
2024-10-25,1777.0,,407
2024-10-26,1953.0,63.3,408
2024-10-27,2346.0,62.7,409
2024-10-28,2038.0,,410
2024-10-29,1778.0,62.7,411
2024-10-30,1709.0,62.9,412
2024-10-31,1993.0,62.9,413
2024-11-01,1806.0,63.5,414
2024-11-02,2264.0,63.5,415
2024-11-03,2208.0,62.7,416
2024-11-04,1863.0,63.7,417
2024-11-05,1951.0,,418
2024-11-06,1856.0,63.3,419
2024-11-07,1835.0,62.8,420
2024-11-08,1938.0,62.5,421
2024-11-09,1978.0,62.7,422
2024-11-10,2603.0,63.3,423
2024-11-11,1802.0,63.6,424
2024-11-12,1813.0,,425
2024-11-13,1877.0,63.0,426
2024-11-14,1791.0,62.4,427
2024-11-15,1795.0,62.5,428
2024-11-16,2162.0,,429
2024-11-17,2208.0,63.4,430
2024-11-18,1844.0,63.5,431
2024-11-19,1623.0,63.0,432
2024-11-20,1710.0,62.9,433
2024-11-21,1726.0,62.7,434
2024-11-22,1980.0,62.7,435
2024-11-23,2029.0,62.3,436
2024-11-24,2199.0,62.4,437
2024-11-25,1828.0,,438
2024-11-26,1806.0,62.7,439
2024-11-27,1977.0,62.3,440
2024-11-28,1874.0,62.5,441
2024-11-29,1894.0,62.3,442
2024-11-30,2031.0,62.4,443
2024-12-01,1898.0,62.6,444
2024-12-02,1806.0,62.6,445
2024-12-03,2309.0,62.9,446
2024-12-04,2393.0,62.9,447
2024-12-05,2528.0,62.7,448
2024-12-06,2372.0,63.2,449
2024-12-07,2487.0,63.3,450
2024-12-08,2404.0,63.4,451
2024-12-09,2230.0,64.0,452
2024-12-10,2542.0,63.1,453
2024-12-11,2477.0,63.1,454
2024-12-12,2568.0,62.9,455
2024-12-13,2502.0,63.7,456
2024-12-14,2488.0,64.2,457
2024-12-15,2540.0,64.6,458
2024-12-16,2338.0,64.6,459
2024-12-17,2548.0,63.9,460
2024-12-18,2505.0,64.7,461
2024-12-19,2545.0,64.0,462
2024-12-20,2337.0,64.8,463
2024-12-21,2487.0,64.8,464
2024-12-22,2516.0,63.6,465
2024-12-23,2551.0,,466
2024-12-24,2498.0,,467
